username,id,date,time,user_id,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to,retweet_date,score
mikkelson12,153000000000000000,12/30/2011,15:49:50,22639491,Meaghan Mikkelson,,@HockeyCanada @HC_WJC At the SWE vs. SLO game with @RBC Come by the Rotary House to say hi! #iwasthere #Calgary,"['hockeycanada', 'hc_wjc', 'rbc']",[],[],0,0,0,"['#iwasthere', '#calgary']",[],https://twitter.com/Mikkelson12/status/152853926348201985,False,,0,"[{'user_id': '22639491', 'username': 'Mikkelson12'}, {'user_id': '28206390', 'username': 'HockeyCanada'}, {'user_id': '199846785', 'username': 'HC_WJC'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.1
kitconewsnow,152000000000000000,12/28/2011,14:14:52,138513820,Kitco NEWS,,@RBC Gold Prices Are On The Defensive Until Year End— @RBC's Gero  http://bit.ly/vfClSM ,['rbc'],['http://bit.ly/vfClSM'],[],0,0,0,[],[],https://twitter.com/KitcoNewsNOW/status/152105251065970689,False,,0,"[{'user_id': '138513820', 'username': 'KitcoNewsNOW'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.6
telus,150000000000000000,12/23/2011,15:22:21,6975832,TELUS,,RT @iec_bc: Happy Friday! #FF Great local employers: @Providence_Hlth @TTSupermarket @TheHudsonsBayco @Telus @Vancity @NaturesPath @RBC...,"['iec_bc', 'providence_hlth', 'thehudsonsbayco', 'telus', 'vancity', 'naturespath', 'rbc']",[],[],0,0,0,['#ff'],[],https://twitter.com/TELUS/status/150310295951261696,False,,0,"[{'user_id': '6975832', 'username': 'TELUS'}, {'user_id': '381646971', 'username': 'IEC_BC'}, {'user_id': '64013641', 'username': 'Providence_Hlth'}, {'user_id': '2648504928', 'username': 'thehudsonsbayco'}, {'user_id': '223906506', 'username': 'Vancity'}, {'user_id': '16280307', 'username': 'NaturesPath'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.7
kitconewsnow,150000000000000000,12/21/2011,15:44:34,138513820,Kitco NEWS,,Bull Market For Gold Until E.U. Resolution: George Gero (@RBC) -  http://youtu.be/CKRr0arLpsU,['rbc'],['http://youtu.be/CKRr0arLpsU'],[],0,1,0,[],[],https://twitter.com/KitcoNewsNOW/status/149591110421970945,False,,0,"[{'user_id': '138513820', 'username': 'KitcoNewsNOW'}, {'user_id': '14526582', 'username': 'RBC'}]",,-0.2
kikkiplanet,149000000000000000,12/20/2011,15:56:59,121853848,Kathleen Smith,,@Rainyfool @RBC You should really consider Alberta Treasury Branch. Absolutely the BEST customer service around.,"['rainyfool', 'rbc']",[],[],0,0,0,[],[],https://twitter.com/KikkiPlanet/status/149231845052129281,False,,0,"[{'user_id': '121853848', 'username': 'KikkiPlanet'}, {'user_id': '5453202', 'username': 'Rainyfool'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.5
ratnaomi,149000000000000000,12/19/2011,10:58:48,112475398,Senator Ratna Omidvar,,Gord Nixon talks about #immigration #economy in new @RBC report.  http://ow.ly/83Sgd,['rbc'],['http://ow.ly/83Sgd'],[],0,5,0,"['#immigration', '#economy']",[],https://twitter.com/ratnaomi/status/148794416545529856,False,,0,"[{'user_id': '112475398', 'username': 'ratnaomi'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.0
place2be,149000000000000000,12/19/2011,06:48:14,33936030,Place2Be,,RT @SkelptArse: Help @The_Place2Be by encouraging all staff @RBC (Royal Bank of Canada) to vote them Charity of Yr  http://bit.ly/vjMUUu,"['skelptarse', 'rbc']",['http://bit.ly/vjMUUu'],[],0,0,0,[],[],https://twitter.com/Place2Be/status/148731359530201089,False,,0,"[{'user_id': '33936030', 'username': 'Place2Be'}, {'user_id': '179139945', 'username': 'SkelptArse'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.3
hockeycanada,148000000000000000,12/16/2011,09:08:21,28206390,Hockey Canada,,"RT @j16h: Wow... I'm very proud 2 be a part of the @RBC team!   http://hockeycanada.ca/index.php/ci_i … 
#RBC #RBCplayhockey #differencemakers","['j16h', 'rbc']",['http://hockeycanada.ca/index.php/ci_i'],[],0,1,0,"['#rbc', '#rbcplayhockey', '#differencemakers']",[],https://twitter.com/HockeyCanada/status/147679460580265985,False,,0,"[{'user_id': '28206390', 'username': 'HockeyCanada'}, {'user_id': '81752282', 'username': 'J16H'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.3
j16h,147000000000000000,12/15/2011,15:54:58,81752282,Jayna Hefford,,"Wow... I'm very proud to be a part of the @RBC team!   http://hockeycanada.ca/index.php/ci_id/183338/la_id/1/ …
@HockeyCanada #RBC #RBCplayhockey #differencemakers","['rbc', 'hockeycanada']",['http://hockeycanada.ca/index.php/ci_id/183338/la_id/1/'],[],0,0,0,"['#rbc', '#rbcplayhockey', '#differencemakers']",[],https://twitter.com/J16H/status/147419401715593217,False,,0,"[{'user_id': '81752282', 'username': 'J16H'}, {'user_id': '14526582', 'username': 'RBC'}, {'user_id': '28206390', 'username': 'HockeyCanada'}]",,0.4
teamcanada,147000000000000000,12/15/2011,13:29:54,38491229,Team Canada,,Fantastic! RT@RBC is providing 2 plane tickets to each member of Canada’s National Junior Team for difference makers:  http://bit.ly/uxxrMU,['rbc'],['http://bit.ly/uxxrMU'],[],0,0,0,[],[],https://twitter.com/TeamCanada/status/147382891498848256,False,,0,"[{'user_id': '38491229', 'username': 'TeamCanada'}, {'user_id': '14526582', 'username': 'RBC'}]",,0.6
